LAST SEEN   TYPE     REASON                  OBJECT                                  MESSAGE
36m         Normal   Killing                 pod/webnote-1                           Stopping container nginx
36m         Normal   Killing                 pod/webnote-2                           Stopping container nginx
36m         Normal   Killing                 pod/webnote-0                           Stopping container nginx
35m         Normal   Scheduled               pod/webnote-0                           Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
35m         Normal   SuccessfulCreate        statefulset/webnote                     Create Pod webnote-0 in StatefulSet webnote successful
35m         Normal   Started                 pod/webnote-0                           Container started
35m         Normal   Created                 pod/webnote-0                           Container created
35m         Normal   Pulled                  pod/webnote-0                           Container image "busybox:1.37" already present on machine and can be accessed by the pod
35m         Normal   Started                 pod/webnote-0                           Container started
35m         Normal   Created                 pod/webnote-0                           Container created
35m         Normal   Pulled                  pod/webnote-0                           Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
35m         Normal   Pulled                  pod/webnote-1                           Container image "busybox:1.37" already present on machine and can be accessed by the pod
35m         Normal   Scheduled               pod/webnote-1                           Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
35m         Normal   Created                 pod/webnote-1                           Container created
35m         Normal   SuccessfulCreate        statefulset/webnote                     Create Pod webnote-1 in StatefulSet webnote successful
35m         Normal   Started                 pod/webnote-1                           Container started
35m         Normal   Created                 pod/webnote-1                           Container created
35m         Normal   Pulled                  pod/webnote-1                           Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
35m         Normal   Started                 pod/webnote-1                           Container started
35m         Normal   Created                 pod/webnote-2                           Container created
35m         Normal   Scheduled               pod/webnote-2                           Successfully assigned dso202-practical-02/webnote-2 to worker-node-1
35m         Normal   SuccessfulCreate        statefulset/webnote                     Create Pod webnote-2 in StatefulSet webnote successful
35m         Normal   Started                 pod/webnote-2                           Container started
35m         Normal   Pulled                  pod/webnote-2                           Container image "busybox:1.37" already present on machine and can be accessed by the pod
35m         Normal   Started                 pod/webnote-2                           Container started
35m         Normal   Created                 pod/webnote-2                           Container created
35m         Normal   Pulled                  pod/webnote-2                           Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
28m         Normal   SuccessfulCreate        statefulset/postgres                    Create Claim data-postgres-0 Pod postgres-0 in StatefulSet postgres success
28m         Normal   WaitForFirstConsumer    persistentvolumeclaim/data-postgres-0   waiting for first consumer to be created before binding
28m         Normal   ExternalProvisioning    persistentvolumeclaim/data-postgres-0   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
28m         Normal   Provisioning            persistentvolumeclaim/data-postgres-0   External provisioner is provisioning volume for claim "dso202-practical-02/data-postgres-0"
28m         Normal   ProvisioningSucceeded   persistentvolumeclaim/data-postgres-0   Successfully provisioned volume pvc-d5a30f5a-67ee-40ff-8861-281cd01a7646
28m         Normal   Scheduled               pod/postgres-0                          Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
28m         Normal   Pulling                 pod/postgres-0                          Pulling image "postgres:18-alpine"
15m         Normal   Started                 pod/postgres-0                          Container started
15m         Normal   Pulled                  pod/postgres-0                          Successfully pulled image "postgres:18-alpine" in 13m13.071s (13m13.071s including waiting). Image size: 117891692 bytes.
15m         Normal   Created                 pod/postgres-0                          Container created
7m10s       Normal   Killing                 pod/postgres-0                          Stopping container postgres
7m9s        Normal   Started                 pod/postgres-0                          Container started
7m9s        Normal   SuccessfulCreate        statefulset/postgres                    Create Pod postgres-0 in StatefulSet postgres successful
7m9s        Normal   Scheduled               pod/postgres-0                          Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
7m9s        Normal   Created                 pod/postgres-0                          Container created
7m9s        Normal   Pulled                  pod/postgres-0                          Container image "postgres:18-alpine" already present on machine and can be accessed by the pod
